calibration_bin,rows,targets,mean_predicted,mean_observed,observed_ci_low,observed_ci_high,predicted_ci_low,predicted_ci_high,absolute_gap
0,1581,1039,1.0162881091768876,0.955887086603752,0.8856589501990462,1.0296705110728437,1.0138027359492987,1.0188524076385692,0.06040102257313562
1,1581,1157,1.1138872307232486,1.122914109250695,1.0423214505582763,1.2032837542946642,1.1130298455532892,1.1147467292432658,0.009026878527446325
2,1580,1210,1.1815978321146268,1.146050395750299,1.0656636991473547,1.223741845321667,1.180205509595829,1.182970892575019,0.03554743636432778
3,1581,1273,1.295982659381124,1.3118525122637814,1.2176201385060157,1.4100130306234793,1.2939615248546676,1.2979404147006732,0.01586985288265752
4,1581,1248,1.4021983231343391,1.3743360642613969,1.2835788315542485,1.4672173783640683,1.401034143054091,1.403405917495421,0.027862258872942247
5,1580,1239,1.4917563539988157,1.5351699040646427,1.442801174268174,1.627042401689595,1.490279443795365,1.4933297123007556,0.04341355006582703
6,1581,1234,1.6019153057038913,1.6300295142911227,1.526290873107364,1.73485644021675,1.5999582156247518,1.6037966541892952,0.02811420858723146
7,1580,1184,1.7608826874986032,1.7537724643368997,1.6490251191859768,1.8588470984745864,1.757968525152858,1.7637723630892397,0.0071102231617035105
8,1581,1116,2.005819988629214,2.0674494978952707,1.9485763021828904,2.194051022278865,2.0016751467010723,2.009817791202043,0.061629509266056814
9,1581,1040,2.7178833003827965,2.6800558276829176,2.5386078227116045,2.815082949055615,2.6819272305201234,2.7542143841227578,0.03782747269987885
